"","X","BOROUGH","NEIGHBORHOOD","BUILDING.CLASS.CATEGORY","TAX.CLASS.AT.PRESENT","BLOCK","LOT","EASE.MENT","BUILDING.CLASS.AT.PRESENT","ADDRESS","APARTMENT.NUMBER","ZIP.CODE","RESIDENTIAL.UNITS","COMMERCIAL.UNITS","TOTAL.UNITS","LAND.SQUARE.FEET","GROSS.SQUARE.FEET","YEAR.BUILT","TAX.CLASS.AT.TIME.OF.SALE","BUILDING.CLASS.AT.TIME.OF.SALE","SALE.PRICE","SALE.DATE","PRICE.SQUARE.FEET","BOROUGHNAME","location","ID","lon","lat"
"2299","17400","3","MILL BASIN","02 TWO FAMILY DWELLINGS                    ","1","8651","59","NA","B1","2272 EAST 60TH   PLACE"," ","11234","2","0","2","3100","1778","1960","1","B1","328730","2016-09-19","184.887514060742","Brooklyn","2272 EAST 60TH   PLACE, Brooklyn, 11234 - New York","3936","-73.910751","40.610826"
"2300","17402","3","MILL BASIN","02 TWO FAMILY DWELLINGS                    ","1","8652","39","NA","B1","2538 EAST 63RD   STREET"," ","11234","2","0","2","2000","1920","1960","1","B1","666000","2016-11-22","346.875","Brooklyn","2538 EAST 63RD   STREET, Brooklyn, 11234 - New York","3937","-73.9104416","40.6094875"
"2301","17431","3","NAVY YARD","02 TWO FAMILY DWELLINGS                    ","1","2027","14","NA","B9","25 NORTH ELLIOTT PLACE"," ","11205","2","0","2","1476","3882","2007","1","B9","2050000","2016-09-28","528.078310149408","Brooklyn","25 NORTH ELLIOTT PLACE, Brooklyn, 11205 - New York","3940","-73.977216","40.6974019"
"2302","17432","3","NAVY YARD","02 TWO FAMILY DWELLINGS                    ","1","2032","48","NA","B3","40 CLERMONT AVENUE"," ","11205","2","0","2","1462","1680","1910","1","B3","875000","2016-09-08","520.833333333333","Brooklyn","40 CLERMONT AVENUE, Brooklyn, 11205 - New York","3941","-73.971825","40.6965"
"2303","17465","3","OCEAN HILL","01 ONE FAMILY DWELLINGS                    ","1","1496","41","NA","A9","132 HOWARD AVENUE"," ","11233","1","0","1","1728","1080","1910","1","A9","690000","2016-09-27","638.888888888889","Brooklyn","132 HOWARD AVENUE, Brooklyn, 11233 - New York","3943","-73.9202231","40.6839471"
"2304","17466","3","OCEAN HILL","01 ONE FAMILY DWELLINGS                    ","1","1496","69","NA","A4","595 MACDONOUGH ST"," ","11233","1","0","1","1800","2268","1899","1","A4","850000","2016-12-08","374.779541446208","Brooklyn","595 MACDONOUGH ST, Brooklyn, 11233 - New York","3944","-73.922147","40.683708"
"2305","17473","3","OCEAN HILL","01 ONE FAMILY DWELLINGS                    ","1","1526","7","NA","A9","214 SUMPTER STREET"," ","11233","1","0","1","2500","1272","1910","1","A9","730000","2016-09-09","573.899371069182","Brooklyn","214 SUMPTER STREET, Brooklyn, 11233 - New York","3945","-73.9160069","40.680192"
"2306","17479","3","OCEAN HILL","01 ONE FAMILY DWELLINGS                    ","1","1560","12","NA","A5","13A DEWEY PLACE"," ","11233","1","0","1","1463","1625","1910","1","A5","740000","2016-11-17","455.384615384615","Brooklyn","13A DEWEY PLACE, Brooklyn, 11233 - New York","3948","-73.9180841","40.6774424"
"2307","17485","3","OCEAN HILL","02 TWO FAMILY DWELLINGS                    ","1","1435","61","NA","B9","2303A PACIFIC STREET"," ","11233","2","0","2","1250","1280","1901","1","B9","400000","2016-12-13","312.5","Brooklyn","2303A PACIFIC STREET, Brooklyn, 11233 - New York","3949","-73.90928","40.675649"
"2308","17487","3","OCEAN HILL","02 TWO FAMILY DWELLINGS                    ","1","1442","3","NA","S2","225 ROCKAWAY AVENUE"," ","11233","2","1","3","1393","2652","1901","1","S2","2800","2016-10-10","1.05580693815988","Brooklyn","225 ROCKAWAY AVENUE, Brooklyn, 11233 - New York","3950","-73.910813","40.674969"
"2309","17490","3","OCEAN HILL","02 TWO FAMILY DWELLINGS                    ","1","1442","54","NA","B9","2349 DEAN STREET"," ","11233","2","0","2","2679","1840","1901","1","B9","572400","2016-12-14","311.086956521739","Brooklyn","2349 DEAN STREET, Brooklyn, 11233 - New York","3951","-73.90984","40.674914"
"2310","17515","3","OCEAN HILL","02 TWO FAMILY DWELLINGS                    ","1","1493","73","NA","B3","715 MACON STREET"," ","11233","2","0","2","1750","2364","1899","1","B3","955000","2016-11-10","403.976311336717","Brooklyn","715 MACON STREET, Brooklyn, 11233 - New York","3956","-73.9226879","40.684387"
"2311","17521","3","OCEAN HILL","02 TWO FAMILY DWELLINGS                    ","1","1500","68","NA","B3","535 DECATUR STREET"," ","11233","2","0","2","1833","2475","1899","1","B3","1500000","2016-11-21","606.060606060606","Brooklyn","535 DECATUR STREET, Brooklyn, 11233 - New York","3957","-73.92167","40.6827924"
"2312","17523","3","OCEAN HILL","02 TWO FAMILY DWELLINGS                    ","1","1502","3","NA","B3","97 SARATOGA AVENUE"," ","11233","2","0","2","1420","2238","1931","1","B3","894000","2016-11-28","399.463806970509","Brooklyn","97 SARATOGA AVENUE, Brooklyn, 11233 - New York","3958","-73.917034","40.683537"
"2313","17535","3","OCEAN HILL","02 TWO FAMILY DWELLINGS                    ","1","1506","6","NA","B3","648 DECATUR STREET"," ","11233","2","0","2","1850","2331","1910","1","B3","1487500","2016-10-25","638.138138138138","Brooklyn","648 DECATUR STREET, Brooklyn, 11233 - New York","3960","-73.91671","40.683106"
"2314","17537","3","OCEAN HILL","02 TWO FAMILY DWELLINGS                    ","1","1507","17","NA","B9","738 DECATUR STREET"," ","11233","2","0","2","1800","2268","1901","1","B9","850000","2016-09-02","374.779541446208","Brooklyn","738 DECATUR STREET, Brooklyn, 11233 - New York","3961","-73.9134009","40.683483"
"2315","17550","3","OCEAN HILL","02 TWO FAMILY DWELLINGS                    ","1","1516","16","NA","B1","466 CHAUNCEY STREET"," ","11233","2","0","2","2000","2200","1905","1","B1","660000","2016-10-27","300","Brooklyn","466 CHAUNCEY STREET, Brooklyn, 11233 - New York","3963","-73.913369","40.681993"
"2316","17552","3","OCEAN HILL","02 TWO FAMILY DWELLINGS                    ","1","1517","28","NA","S2","1792 BROADWAY"," ","11207","2","1","3","1166","3300","1925","1","S2","700000","2016-10-20","212.121212121212","Brooklyn","1792 BROADWAY, Brooklyn, 11207 - New York","3964","-73.909495","40.682083"
"2317","17565","3","OCEAN HILL","02 TWO FAMILY DWELLINGS                    ","1","1527","38","NA","B2","316 SUMPTER STREET"," ","11233","2","0","2","2500","2994","2001","1","B2","230000","2016-12-12","76.8203072812291","Brooklyn","316 SUMPTER STREET, Brooklyn, 11233 - New York","3967","-73.911425","40.6809898"
"2318","17568","3","OCEAN HILL","02 TWO FAMILY DWELLINGS                    ","1","1532","136","NA","B1","91 HULL STREET"," ","11233","2","0","2","2817","2548","1999","1","B1","830000","2016-12-08","325.74568288854","Brooklyn","91 HULL STREET, Brooklyn, 11233 - New York","3968","-73.913944","40.679404"
"2319","17569","3","OCEAN HILL","02 TWO FAMILY DWELLINGS                    ","1","1534","21","NA","B1","268 MAC DOUGAL STREET"," ","11233","2","0","2","1800","1980","1899","1","B1","350000","2016-09-22","176.767676767677","Brooklyn","268 MAC DOUGAL STREET, Brooklyn, 11233 - New York","3969","-73.9095741","40.680435"
"2320","17576","3","OCEAN HILL","02 TWO FAMILY DWELLINGS                    ","1","1539","53","NA","B3","99A SOMERS STREET"," ","11233","2","0","2","1625","1836","1910","1","B3","600000","2016-10-21","326.797385620915","Brooklyn","99A SOMERS STREET, Brooklyn, 11233 - New York","3972","-73.908955","40.679233"
"2321","17582","3","OCEAN HILL","02 TWO FAMILY DWELLINGS                    ","1","1549","58","NA","B3","1077 HERKIMER STREET"," ","11233","2","0","2","1533","1625","1899","1","B3","540000","2016-10-21","332.307692307692","Brooklyn","1077 HERKIMER STREET, Brooklyn, 11233 - New York","3975","-73.9177664","40.678093"
"2322","17593","3","OCEAN HILL","02 TWO FAMILY DWELLINGS                    ","1","1560","7","NA","B1","21 DEWEY PLACE"," ","11233","2","0","2","1950","2080","1905","1","B1","905000","2016-10-04","435.096153846154","Brooklyn","21 DEWEY PLACE, Brooklyn, 11233 - New York","3977","-73.9182971","40.6768556"
"2323","17615","3","OCEAN HILL","02 TWO FAMILY DWELLINGS                    ","1","1573","3","NA","B3","95A SACKMAN STREET"," ","11233","2","0","2","1550","1632","1920","1","B3","820000","2016-10-24","502.450980392157","Brooklyn","95A SACKMAN STREET, Brooklyn, 11233 - New York","3979","-73.905793","40.676361"
"2324","17624","3","OCEAN HILL","03 THREE FAMILY DWELLINGS                  ","1","1443","25","NA","C0","2370 PACIFIC STREET"," ","11233","3","0","3","2143","3500","1899","1","C0","780000","2016-11-17","222.857142857143","Brooklyn","2370 PACIFIC STREET, Brooklyn, 11233 - New York","3980","-73.9068818","40.6753119"
"2325","17630","3","OCEAN HILL","03 THREE FAMILY DWELLINGS                  ","1","1452","24","NA","C0","1898 BERGEN STREET"," ","11233","3","0","3","2000","2700","1901","1","C0","725000","2016-11-21","268.518518518519","Brooklyn","1898 BERGEN STREET, Brooklyn, 11233 - New York","3981","-73.918394","40.674129"
"2326","17632","3","OCEAN HILL","03 THREE FAMILY DWELLINGS                  ","1","1457","7","NA","C0","467 RALPH AVENUE"," ","11233","3","0","3","1790","3300","1920","1","C0","999000","2016-10-11","302.727272727273","Brooklyn","467 RALPH AVENUE, Brooklyn, 11233 - New York","3982","-73.921928","40.6732471"
