"","X","BOROUGH","NEIGHBORHOOD","BUILDING.CLASS.CATEGORY","TAX.CLASS.AT.PRESENT","BLOCK","LOT","EASE.MENT","BUILDING.CLASS.AT.PRESENT","ADDRESS","APARTMENT.NUMBER","ZIP.CODE","RESIDENTIAL.UNITS","COMMERCIAL.UNITS","TOTAL.UNITS","LAND.SQUARE.FEET","GROSS.SQUARE.FEET","YEAR.BUILT","TAX.CLASS.AT.TIME.OF.SALE","BUILDING.CLASS.AT.TIME.OF.SALE","SALE.PRICE","SALE.DATE","PRICE.SQUARE.FEET","BOROUGHNAME","location","ID","lon","lat"
"4636","21353","4","RIDGEWOOD","02 TWO FAMILY DWELLINGS                    ","1","3468","27","NA","B2","1874 GATES AVENUE"," ","11385","2","0","2","2000","1840","1910","1","B2","590000","2016-11-10","320.652173913043","Queens","1874 GATES AVENUE, Queens, 11385 - New York","7248","-73.90666","40.704592"
"4637","21366","4","RIDGEWOOD","02 TWO FAMILY DWELLINGS                    ","1","3485","31","NA","S2","652 GRANDVIEW AVENUE"," ","11385","2","1","3","2377","4900","1931","1","S2","1134305","2016-11-16","231.490816326531","Queens","652 GRANDVIEW AVENUE, Queens, 11385 - New York","7251","-73.9048399","40.7077219"
"4638","21421","4","RIDGEWOOD","02 TWO FAMILY DWELLINGS                    ","1","3564","6","NA","B3","1702 GEORGE STREET"," ","11385","2","0","2","1985","1824","1920","1","B3","850000","2016-11-29","466.008771929825","Queens","1702 GEORGE STREET, Queens, 11385 - New York","7254","-73.902336","40.697969"
"4639","21428","4","RIDGEWOOD","02 TWO FAMILY DWELLINGS                    ","1","3571","17","NA","B2","58-22 79TH AVENUE"," ","11385","2","0","2","5000","1520","1901","1","B2","490000","2016-10-05","322.368421052632","Queens","58-22 79TH AVENUE, Queens, 11385 - New York","7256","-73.897147","40.694747"
"4640","21432","4","RIDGEWOOD","02 TWO FAMILY DWELLINGS                    ","1","3581","10","NA","B1","60-20 ST. FELIX AVENUE"," ","11385","2","0","2","2520","2004","1960","1","B1","330000","2016-11-03","164.670658682635","Queens","60-20 ST. FELIX AVENUE, Queens, 11385 - New York","7259","-73.895906","40.696789"
"4641","21438","4","RIDGEWOOD","02 TWO FAMILY DWELLINGS                    ","1","3589","22","NA","B1","59-40 SUMMERFIELD STREET"," ","11385","2","0","2","2340","3420","1910","1","B1","840000","2016-11-17","245.614035087719","Queens","59-40 SUMMERFIELD STREET, Queens, 11385 - New York","7260","-73.89689","40.700023"
"4642","21445","4","RIDGEWOOD","02 TWO FAMILY DWELLINGS                    ","1","3601","26","NA","B2","64-18 65TH   STREET"," ","11379","2","0","2","1280","1560","1925","1","B2","705000","2016-12-22","451.923076923077","Queens","64-18 65TH   STREET, Queens, 11379 - New York","7262","-73.8961472","40.7119349"
"4643","21446","4","RIDGEWOOD","02 TWO FAMILY DWELLINGS                    ","1","3601","40","NA","B2","64-29 ADMIRAL AVENUE"," ","11379","2","0","2","1167","1560","1925","1","B2","750000","2016-10-20","480.769230769231","Queens","64-29 ADMIRAL AVENUE, Queens, 11379 - New York","7263","-73.8967483","40.7120435"
"4644","21447","4","RIDGEWOOD","02 TWO FAMILY DWELLINGS                    ","1","3608","80","NA","B2","64-52 ADMIRAL AVENUE"," ","11379","2","0","2","2610","1728","1930","1","B2","699000","2016-10-27","404.513888888889","Queens","64-52 ADMIRAL AVENUE, Queens, 11379 - New York","7264","-73.896309","40.711353"
"4645","21454","4","RIDGEWOOD","02 TWO FAMILY DWELLINGS                    ","1","3611","6","NA","S2","65-09 FRESH POND ROAD"," ","11385","2","1","3","1720","3300","1931","1","S2","431552","2016-09-09","130.773333333333","Queens","65-09 FRESH POND ROAD, Queens, 11385 - New York","7265","-73.898425","40.709451"
"4646","21463","4","RIDGEWOOD","02 TWO FAMILY DWELLINGS                    ","1","3618","58","NA","B3","64-55 MADISON STREET"," ","11385","2","0","2","2000","1590","1925","1","B3","650000","2016-09-19","408.805031446541","Queens","64-55 MADISON STREET, Queens, 11385 - New York","7266","-73.8933828","40.7082614"
"4647","21481","4","RIDGEWOOD","03 THREE FAMILY DWELLINGS                  ","1","3408","24","NA","C0","1870 GROVE STREET"," ","11385","3","0","3","2500","2000","1910","1","C0","1090000","2016-11-04","545","Queens","1870 GROVE STREET, Queens, 11385 - New York","7267","-73.908233","40.705401"
"4648","21497","4","RIDGEWOOD","03 THREE FAMILY DWELLINGS                  ","1","3515","16","NA","C0","60-32 CATALPA AVENUE"," ","11385","3","0","3","2017","3492","1901","1","C0","1100000","2016-11-09","315.005727376861","Queens","60-32 CATALPA AVENUE, Queens, 11385 - New York","7269","-73.898281","40.70296"
"4649","21501","4","RIDGEWOOD","03 THREE FAMILY DWELLINGS                  ","1","3533","45","NA","C0","60-61 68TH ROAD"," ","11385","3","0","3","1800","3420","1910","1","C0","1340000","2016-10-25","391.812865497076","Queens","60-61 68TH ROAD, Queens, 11385 - New York","7270","-73.897488","40.7043329"
"4650","21507","4","RIDGEWOOD","03 THREE FAMILY DWELLINGS                  ","1","3536","18","NA","C0","60-88 69 AVENUE"," ","11385","3","0","3","2000","3372","1915","1","C0","1040000","2016-10-14","308.422301304864","Queens","60-88 69 AVENUE, Queens, 11385 - New York","7271","-73.895921","40.702888"
"4651","21509","4","RIDGEWOOD","03 THREE FAMILY DWELLINGS                  ","1","3536","42","NA","C0","60-69 70TH   AVENUE"," ","11385","3","0","3","2017","3372","1915","1","C0","1200000","2016-09-01","355.871886120996","Queens","60-69 70TH   AVENUE, Queens, 11385 - New York","7272","-73.896476","40.702439"
"4652","21511","4","RIDGEWOOD","03 THREE FAMILY DWELLINGS                  ","1","3537","13","NA","C0","60-80 70TH AVE"," ","11385","3","0","3","1952","3204","1901","1","C0","1300000","2016-12-21","405.742821473159","Queens","60-80 70TH AVE, Queens, 11385 - New York","7273","-73.895934","40.702123"
"4653","21513","4","RIDGEWOOD","03 THREE FAMILY DWELLINGS                  ","1","3547","100","NA","C0","1626 CORNELIA STREET"," ","11385","3","0","3","1890","3192","1910","1","C0","175000","2016-12-27","54.8245614035088","Queens","1626 CORNELIA STREET, Queens, 11385 - New York","7274","-73.907161","40.698319"
"4654","21536","4","RIDGEWOOD","07 RENTALS - WALKUP APARTMENTS             ","2A","3383","14","NA","C3","551 FAIRVIEW AVENUE"," ","11385","4","0","4","2375","3250","1917","2","C3","250000","2016-12-13","76.9230769230769","Queens","551 FAIRVIEW AVENUE, Queens, 11385 - New York","7275","-73.907931","40.708186"
"4655","21544","4","RIDGEWOOD","07 RENTALS - WALKUP APARTMENTS             ","2A","3389","8","NA","C2","507 WOODWARD AVENUE"," ","11385","6","0","6","2500","4725","1915","2","C2","1525000","2016-11-03","322.751322751323","Queens","507 WOODWARD AVENUE, Queens, 11385 - New York","7276","-73.909574","40.70742"
"4656","21574","4","RIDGEWOOD","07 RENTALS - WALKUP APARTMENTS             ","2A","3440","12","NA","C2","17-34 MENAHAN STREET"," ","11385","5","0","5","2025","3768","1920","2","C2","2232500","2016-09-22","592.489384288747","Queens","17-34 MENAHAN STREET, Queens, 11385 - New York","7280","-73.910954","40.70383"
"4657","21575","4","RIDGEWOOD","07 RENTALS - WALKUP APARTMENTS             ","2A","3448","29","NA","C2","1684 GATES AVENUE"," ","11385","6","0","6","2742","5610","1930","2","C2","1500000","2016-12-29","267.379679144385","Queens","1684 GATES AVENUE, Queens, 11385 - New York","7281","-73.909725","40.701545"
"4658","21585","4","RIDGEWOOD","07 RENTALS - WALKUP APARTMENTS             ","2A","3458","34","NA","C2","1827 WOODBINE STREET"," ","11385","6","0","6","2758","5600","1930","2","C2","111200","2016-12-09","19.8571428571429","Queens","1827 WOODBINE STREET, Queens, 11385 - New York","7282","-73.906457","40.703163"
"4659","21589","4","RIDGEWOOD","07 RENTALS - WALKUP APARTMENTS             ","2B","3460","39","NA","C1","1725 PUTNAM AVENUE"," ","11385","8","0","8","3458","5700","1930","2","C1","3700000","2016-10-06","649.122807017544","Queens","1725 PUTNAM AVENUE, Queens, 11385 - New York","7285","-73.906004","40.7012969"
"4660","21590","4","RIDGEWOOD","07 RENTALS - WALKUP APARTMENTS             ","2B","3460","57","NA","C1","1707 PUTNAM AVENUE"," ","11385","7","0","7","2742","5600","1930","2","C1","900000","2016-10-06","160.714285714286","Queens","1707 PUTNAM AVENUE, Queens, 11385 - New York","7286","-73.906561","40.700748"
"4661","21591","4","RIDGEWOOD","07 RENTALS - WALKUP APARTMENTS             ","2B","3460","59","NA","C1","1705 PUTNAM AVENUE"," ","11385","8","0","8","2742","5600","1930","2","C1","900000","2016-10-06","160.714285714286","Queens","1705 PUTNAM AVENUE, Queens, 11385 - New York","7287","-73.906621","40.700688"
"4662","21594","4","RIDGEWOOD","07 RENTALS - WALKUP APARTMENTS             ","2A","3462","43","NA","C2","18-19 PUTNAM AVE"," ","11385","6","0","6","3003","5300","1930","2","C2","1750000","2016-12-14","330.188679245283","Queens","18-19 PUTNAM AVE, Queens, 11385 - New York","7288","-73.9051901","40.7021214"
"4663","21595","4","RIDGEWOOD","07 RENTALS - WALKUP APARTMENTS             ","2A","3463","44","NA","C2","1819 CORNELIA STREET"," ","11385","6","0","6","2733","5600","1930","2","C2","1420000","2016-12-15","253.571428571429","Queens","1819 CORNELIA STREET, Queens, 11385 - New York","7289","-73.904487","40.701627"
"4664","21603","4","RIDGEWOOD","07 RENTALS - WALKUP APARTMENTS             ","2A","3472","52","NA","C2","1867 CORNELIA STREET"," ","11385","6","0","6","2742","5600","1930","2","C2","1500000","2016-09-15","267.857142857143","Queens","1867 CORNELIA STREET, Queens, 11385 - New York","7290","-73.903514","40.70259"
"4665","21609","4","RIDGEWOOD","07 RENTALS - WALKUP APARTMENTS             ","2A","3477","29","NA","C2","19-24 LINDEN STREET"," ","11385","6","0","6","2500","5175","1930","2","C2","1325000","2016-10-06","256.038647342995","Queens","19-24 LINDEN STREET, Queens, 11385 - New York","7291","-73.9062381","40.7062008"
"4666","21616","4","RIDGEWOOD","07 RENTALS - WALKUP APARTMENTS             ","2A","3492","85","NA","C2","5913 BLEECKER ST"," ","11385","6","0","6","4325","5880","1930","2","C2","1650000","2016-11-16","280.612244897959","Queens","5913 BLEECKER ST, Queens, 11385 - New York","7293","-73.9046306","40.7110238"
"4667","21620","4","RIDGEWOOD","07 RENTALS - WALKUP APARTMENTS             ","2A","3512","58","NA","C2","60-19 68TH   AVENUE"," ","11385","5","0","5","2250","3840","1930","2","C2","1600000","2016-11-15","416.666666666667","Queens","60-19 68TH   AVENUE, Queens, 11385 - New York","7294","-73.89943","40.704456"
"4668","21623","4","RIDGEWOOD","07 RENTALS - WALKUP APARTMENTS             ","2A","3538","13","NA","C2","60-76 71ST   AVENUE"," ","11385","6","0","6","2800","5712","1930","2","C2","1500000","2016-12-23","262.605042016807","Queens","60-76 71ST   AVENUE, Queens, 11385 - New York","7295","-73.8958417","40.7014605"
"4669","21631","4","RIDGEWOOD","07 RENTALS - WALKUP APARTMENTS             ","2A","3573","7","NA","C2","961 SENECA AVENUE"," ","11385","6","0","6","2791","5850","1931","2","C2","1800000","2016-12-05","307.692307692308","Queens","961 SENECA AVENUE, Queens, 11385 - New York","7296","-73.902443","40.700002"
"4670","21697","4","RIDGEWOOD","29 COMMERCIAL GARAGES                      ","4","3551","108","NA","G1","16-09 GEORGE STREET"," ","11385","0","1","1","1744","1744","1931","4","G1","550000","2016-11-04","315.366972477064","Queens","16-09 GEORGE STREET, Queens, 11385 - New York","7297","-73.9045711","40.6962465"
"4671","21703","4","RIDGEWOOD","30 WAREHOUSES                              ","4","3591","1","NA","E9","72-24 61ST   STREET"," ","11385","0","2","2","7908","7780","1931","4","E9","1550000","2016-11-07","199.228791773779","Queens","72-24 61ST   STREET, Queens, 11385 - New York","7298","-73.894467","40.70003"
"4672","21705","4","RIDGEWOOD","38 ASYLUMS AND HOMES                       ","4","3450","62","NA","N9","1663 MADISON STREET"," ","11385","0","0","0","2650","5600","1931","4","N9","2550000","2016-10-05","455.357142857143","Queens","1663 MADISON STREET, Queens, 11385 - New York","7299","-73.9082749","40.7002185"
"4673","21706","4","RIDGEWOOD","38 ASYLUMS AND HOMES                       ","4","3450","62","NA","N9","1663 MADISON STREET"," ","11385","0","0","0","2650","5600","1931","4","N9","1450000","2016-10-05","258.928571428571","Queens","1663 MADISON STREET, Queens, 11385 - New York","7300","-73.9082749","40.7002185"
"4674","21753","4","ROCKAWAY PARK","01 ONE FAMILY DWELLINGS                    ","1","16185","6","NA","A1","112-07 ROCKAWAY BEACH BLVD"," ","11694","1","0","1","2561","1560","1910","1","A1","580000","2016-12-20","371.794871794872","Queens","112-07 ROCKAWAY BEACH BLVD, Queens, 11694 - New York","7301","-73.8339864","40.5805201"
"4675","21768","4","ROCKAWAY PARK","02 TWO FAMILY DWELLINGS                    ","1","16213","62","NA","B3","250 BEACH 118TH"," ","11694","2","0","2","4000","1625","1905","1","B3","595000","2016-10-20","366.153846153846","Queens","250 BEACH 118TH, Queens, 11694 - New York","7302","-73.839405","40.580584"
"4676","21769","4","ROCKAWAY PARK","02 TWO FAMILY DWELLINGS                    ","1","16214","30","NA","B3","213 BEACH 118TH STREET"," ","11694","2","0","2","6000","2396","1915","1","B3","650000","2016-11-16","271.285475792988","Queens","213 BEACH 118TH STREET, Queens, 11694 - New York","7303","-73.8392986","40.5795978"
"4677","21772","4","ROCKAWAY PARK","02 TWO FAMILY DWELLINGS                    ","1","16219","5","NA","B3","123-11 NEWPORT AVENUE"," ","11694","2","0","2","3600","2800","1960","1","B3","700000","2016-09-14","250","Queens","123-11 NEWPORT AVENUE, Queens, 11694 - New York","7304","-73.844281","40.579154"
"4678","21779","4","ROCKAWAY PARK","03 THREE FAMILY DWELLINGS                  ","1","16157","1","NA","C0","2-02 BEACH 102ND STREET"," ","11694","3","0","3","2946","2750","1988","1","C0","485000","2016-10-19","176.363636363636","Queens","2-02 BEACH 102ND STREET, Queens, 11694 - New York","7305","-73.822307","40.583384"
"4679","21781","4","ROCKAWAY PARK","03 THREE FAMILY DWELLINGS                  ","1","16171","59","NA","C0","157 BEACH 98TH STREET"," ","11694","3","0","3","3150","2346","2000","1","C0","525000","2016-12-28","223.785166240409","Queens","157 BEACH 98TH STREET, Queens, 11694 - New York","7306","-73.8192679","40.583622"
"4680","21782","4","ROCKAWAY PARK","03 THREE FAMILY DWELLINGS                  ","1","16174","42","NA","C0","183 BEACH 101 STREET"," ","11694","3","0","3","3530","2230","1910","1","C0","300000","2016-11-16","134.529147982063","Queens","183 BEACH 101 STREET, Queens, 11694 - New York","7307","-73.8216361","40.5829794"
"4681","21806","4","ROCKAWAY PARK","07 RENTALS - WALKUP APARTMENTS             ","2","16180","1","NA","C7","108-20 ROCKAWAY BEACH BLVD"," ","11694","9","4","13","19361","3900","1930","2","C5","266666","2016-11-04","68.3758974358974","Queens","108-20 ROCKAWAY BEACH BLVD, Queens, 11694 - New York","7308","-73.830526","40.581407"
"4682","21810","4","ROCKAWAY PARK","07 RENTALS - WALKUP APARTMENTS             ","2B","16181","26","NA","C9","171C BEACH 109TH STREET"," ","11694","9","0","9","5000","1488","1930","2","C9","150950","2016-12-05","101.444892473118","Queens","171C BEACH 109TH STREET, Queens, 11694 - New York","7310","-73.830414","40.580361"
"4683","21879","4","ROSEDALE","01 ONE FAMILY DWELLINGS                    ","1","12867","3","NA","A2","240-31 128TH   ROAD"," ","11422","1","0","1","4000","1094","1955","1","A2","210000","2016-12-30","191.956124314442","Queens","240-31 128TH   ROAD, Queens, 11422 - New York","7311","-73.726271","40.681159"
"4684","21881","4","ROSEDALE","01 ONE FAMILY DWELLINGS                    ","1","12889","7","NA","A2","129-33 BROOKVILLE BOULEVARD"," ","11422","1","0","1","4988","1196","1965","1","A2","436000","2016-10-31","364.548494983278","Queens","129-33 BROOKVILLE BOULEVARD, Queens, 11422 - New York","7312","-73.728666","40.6787769"
"4685","21884","4","ROSEDALE","01 ONE FAMILY DWELLINGS                    ","1","12949","21","NA","A2","241-07 132ND   AVENUE"," ","11422","1","0","1","4000","837","1955","1","A2","355000","2016-10-10","424.133811230585","Queens","241-07 132ND   AVENUE, Queens, 11422 - New York","7313","-73.7306009","40.67647"
"4686","21886","4","ROSEDALE","01 ONE FAMILY DWELLINGS                    ","1","12950","236","NA","A2","243-23 131 ROAD"," ","11422","1","0","1","7120","1175","1940","1","A2","535000","2016-10-07","455.31914893617","Queens","243-23 131 ROAD, Queens, 11422 - New York","7314","-73.728205","40.676227"
"4687","21887","4","ROSEDALE","01 ONE FAMILY DWELLINGS                    ","1","13207","1","NA","A1","243-17 134TH AVENUE"," ","11422","1","0","1","4000","1928","1920","1","A1","535000","2016-10-14","277.489626556017","Queens","243-17 134TH AVENUE, Queens, 11422 - New York","7315","-73.730556","40.672644"
"4688","21901","4","ROSEDALE","01 ONE FAMILY DWELLINGS                    ","1","13225","43","NA","A2","135-36 245TH STREET"," ","11422","1","0","1","3000","960","1930","1","A2","365000","2016-09-02","380.208333333333","Queens","135-36 245TH STREET, Queens, 11422 - New York","7316","-73.73117","40.669968"
"4689","21903","4","ROSEDALE","01 ONE FAMILY DWELLINGS                    ","1","13226","12","NA","A2","135-21A 245TH   STREET"," ","11422","1","0","1","4000","1000","1950","1","A2","400000","2016-12-09","400","Queens","135-21A 245TH   STREET, Queens, 11422 - New York","7317","-73.7303869","40.670255"
"4690","21907","4","ROSEDALE","01 ONE FAMILY DWELLINGS                    ","1","13234","26","NA","A1","136-07 BROOKVILLE BOULEVARD"," ","11422","1","0","1","3560","1912","1955","1","A1","430000","2016-09-30","224.89539748954","Queens","136-07 BROOKVILLE BOULEVARD, Queens, 11422 - New York","7318","-73.735307","40.670602"
"4691","21915","4","ROSEDALE","01 ONE FAMILY DWELLINGS                    ","1","13246","9","NA","A2","137-03 244TH   STREET"," ","11422","1","0","1","4000","968","1925","1","A2","480000","2016-11-16","495.867768595041","Queens","137-03 244TH   STREET, Queens, 11422 - New York","7319","-73.732527","40.6682569"
"4692","21932","4","ROSEDALE","01 ONE FAMILY DWELLINGS                    ","1","13468","9","NA","A2","220-03 146TH   AVENUE"," ","11413","1","0","1","4000","1385","1930","1","A2","250000","2016-09-13","180.505415162455","Queens","220-03 146TH   AVENUE, Queens, 11413 - New York","7321","-73.759586","40.661813"
"4693","21939","4","ROSEDALE","01 ONE FAMILY DWELLINGS                    ","1","13471","36","NA","A1","145-45 223RD   STREET"," ","11413","1","0","1","2850","952","1920","1","A1","495000","2016-10-05","519.957983193277","Queens","145-45 223RD   STREET, Queens, 11413 - New York","7322","-73.756181","40.662161"
"4694","21942","4","ROSEDALE","01 ONE FAMILY DWELLINGS                    ","1","13471","62","NA","A5","14572 224TH STREET"," ","11413","1","0","1","2500","1368","1965","1","A5","315000","2016-12-21","230.263157894737","Queens","14572 224TH STREET, Queens, 11413 - New York","7323","-73.75631","40.661382"
"4695","21944","4","ROSEDALE","01 ONE FAMILY DWELLINGS                    ","1","13472","15","NA","A5","145-77 224TH STREET"," ","11413","1","0","1","2375","1908","1965","1","A5","395000","2016-12-28","207.023060796646","Queens","145-77 224TH STREET, Queens, 11413 - New York","7324","-73.755896","40.661123"
"4696","21950","4","ROSEDALE","01 ONE FAMILY DWELLINGS                    ","1","13479","5","NA","A2","222-09 145TH ROAD"," ","11413","1","0","1","3800","1196","1955","1","A2","464000","2016-12-07","387.959866220736","Queens","222-09 145TH ROAD, Queens, 11413 - New York","7325","-73.756505","40.66294"
"4697","21957","4","ROSEDALE","01 ONE FAMILY DWELLINGS                    ","1","13487","66","NA","A1","145-40 230TH PLACE"," ","11413","1","0","1","5500","1982","1925","1","A1","310000","2016-12-08","156.407669021191","Queens","145-40 230TH PLACE, Queens, 11413 - New York","7327","-73.7498149","40.6601645"
"4698","21966","4","ROSEDALE","01 ONE FAMILY DWELLINGS                    ","1","13516","65","NA","A5","142-35 231ST   STREET"," ","11413","1","0","1","2000","1280","1940","1","A5","265000","2016-12-07","207.03125","Queens","142-35 231ST   STREET, Queens, 11413 - New York","7328","-73.7452728","40.6643522"
"4699","21967","4","ROSEDALE","01 ONE FAMILY DWELLINGS                    ","1","13517","5","NA","A5","232-15 143RD AVE"," ","11413","1","0","1","2468","1544","1940","1","A5","405000","2016-10-06","262.305699481865","Queens","232-15 143RD AVE, Queens, 11413 - New York","7329","-73.743656","40.664748"
"4700","21971","4","ROSEDALE","01 ONE FAMILY DWELLINGS                    ","1","13540","105","NA","A1","240-18 EDGEWOOD ST"," ","11422","1","0","1","3785","1748","1925","1","A1","465000","2016-12-06","266.018306636156","Queens","240-18 EDGEWOOD ST, Queens, 11422 - New York","7330","-73.744068","40.658403"
"4701","21980","4","ROSEDALE","01 ONE FAMILY DWELLINGS                    ","1","13563","22","NA","A1","241-05 MEMPHIS AVENUE"," ","11422","1","0","1","3000","944","1925","1","A1","343000","2016-10-28","363.347457627119","Queens","241-05 MEMPHIS AVENUE, Queens, 11422 - New York","7331","-73.737604","40.664762"
"4702","21985","4","ROSEDALE","01 ONE FAMILY DWELLINGS                    ","1","13571","47","NA","A5","243-14 WELLER AVENUE"," ","11422","1","0","1","2000","1200","2006","1","A5","250000","2016-10-14","208.333333333333","Queens","243-14 WELLER AVENUE, Queens, 11422 - New York","7332","-73.737989","40.661131"
"4703","21997","4","ROSEDALE","01 ONE FAMILY DWELLINGS                    ","1","13601","13","NA","A1","258-07 FRANCIS LEWIS BLVD"," ","11422","1","0","1","7515","1501","1920","1","A1","442000","2016-11-03","294.470353097935","Queens","258-07 FRANCIS LEWIS BLVD, Queens, 11422 - New York","7333","-73.7285153","40.658132"
"4704","21998","4","ROSEDALE","01 ONE FAMILY DWELLINGS                    ","1","13605","19","NA","A2","140-39 255TH   STREET"," ","11422","1","0","1","4000","1464","1955","1","A2","422300","2016-10-11","288.456284153005","Queens","140-39 255TH   STREET, Queens, 11422 - New York","7334","-73.729515","40.660056"
"4705","22000","4","ROSEDALE","01 ONE FAMILY DWELLINGS                    ","1","13605","47","NA","A2","141-32 256TH   STREET"," ","11422","1","0","1","4275","1125","1955","1","A2","461500","2016-10-17","410.222222222222","Queens","141-32 256TH   STREET, Queens, 11422 - New York","7335","-73.7292499","40.659866"
"4706","22006","4","ROSEDALE","01 ONE FAMILY DWELLINGS                    ","1","13626","9","NA","A2","141-03 HOOK CREEK BOULEVARD"," ","11422","1","0","1","5674","1280","1955","1","A2","160000","2016-12-20","125","Queens","141-03 HOOK CREEK BOULEVARD, Queens, 11422 - New York","7337","-73.728887","40.662932"
"4707","22043","4","ROSEDALE","01 ONE FAMILY DWELLINGS                    ","1","13712","98","NA","A2","147-30 232ND   STREET"," ","11413","1","0","1","4280","2250","1955","1","A2","335000","2016-11-30","148.888888888889","Queens","147-30 232ND   STREET, Queens, 11413 - New York","7343","-73.7498449","40.656871"
"4708","22053","4","ROSEDALE","01 ONE FAMILY DWELLINGS                    ","1","13749","22","NA","A2","241-34 148TH DRIVE"," ","11422","1","0","1","4000","1025","1955","1","A2","375000","2016-10-04","365.853658536585","Queens","241-34 148TH DRIVE, Queens, 11422 - New York","7346","-73.741994","40.653044"
"4709","22064","4","ROSEDALE","02 TWO FAMILY DWELLINGS                    ","1","13243","47","NA","B3","13634 HOOK CREEK BOULEVARD"," ","11422","2","0","2","2154","2000","1930","1","B3","340000","2016-12-14","170","Queens","13634 HOOK CREEK BOULEVARD, Queens, 11422 - New York","7348","-73.7296251","40.6680735"
"4710","22070","4","ROSEDALE","02 TWO FAMILY DWELLINGS                    ","1","13455","62","NA","B2","146-48 222ND STREET"," ","11413","2","0","2","3800","2752","1960","1","B2","415000","2016-12-29","150.799418604651","Queens","146-48 222ND STREET, Queens, 11413 - New York","7349","-73.759255","40.659966"
"4711","22072","4","ROSEDALE","02 TWO FAMILY DWELLINGS                    ","1","13458","10","NA","B2","146-24 225TH STREET"," ","11413","2","0","2","3240","2288","1965","1","B2","660000","2016-09-29","288.461538461538","Queens","146-24 225TH STREET, Queens, 11413 - New York","7350","-73.75645","40.659681"
"4712","22073","4","ROSEDALE","02 TWO FAMILY DWELLINGS                    ","1","13458","46","NA","B2","146-29 224TH STREET"," ","11413","2","0","2","3420","2288","1965","1","B2","595000","2016-12-06","260.052447552448","Queens","146-29 224TH STREET, Queens, 11413 - New York","7351","-73.7568288","40.6596871"
"4713","22075","4","ROSEDALE","02 TWO FAMILY DWELLINGS                    ","1","13462","34","NA","B1","146-51 228 STREET"," ","11413","2","0","2","3000","1840","2011","1","B1","650000","2016-12-21","353.260869565217","Queens","146-51 228 STREET, Queens, 11413 - New York","7352","-73.7533196","40.6588728"
"4714","22076","4","ROSEDALE","02 TWO FAMILY DWELLINGS                    ","1","13464","14","NA","B3","146-45 230 STREET"," ","11413","2","0","2","4000","2392","1950","1","B3","668481","2016-12-29","279.465301003345","Queens","146-45 230 STREET, Queens, 11413 - New York","7353","-73.751392","40.658423"
"4715","22077","4","ROSEDALE","02 TWO FAMILY DWELLINGS                    ","1","13464","14","NA","B3","146-45 230TH   STREET"," ","11413","2","0","2","4000","2392","1950","1","B3","614918","2016-11-04","257.072742474916","Queens","146-45 230TH   STREET, Queens, 11413 - New York","7354","-73.751392","40.658423"
"4716","22081","4","ROSEDALE","02 TWO FAMILY DWELLINGS                    ","1","13470","28","NA","B3","145-61 222ND   STREET"," ","11413","2","0","2","2850","1415","1935","1","B3","518500","2016-09-15","366.43109540636","Queens","145-61 222ND   STREET, Queens, 11413 - New York","7355","-73.7572765","40.6621253"
"4717","22084","4","ROSEDALE","02 TWO FAMILY DWELLINGS                    ","1","13473","32","NA","B2","225-06 145TH   ROAD"," ","11413","2","0","2","3000","1610","1925","1","B2","260000","2016-10-26","161.490683229814","Queens","225-06 145TH   ROAD, Queens, 11413 - New York","7356","-73.754465","40.661723"
"4718","22086","4","ROSEDALE","02 TWO FAMILY DWELLINGS                    ","1","13473","55","NA","B2","145-82 226TH   STREET"," ","11413","2","0","2","2680","2100","1960","1","B2","690000","2016-12-12","328.571428571429","Queens","145-82 226TH   STREET, Queens, 11413 - New York","7357","-73.754863","40.66053"
"4719","22098","4","ROSEDALE","02 TWO FAMILY DWELLINGS                    ","1","13496","20","NA","B3","144-43 226TH STREET"," ","11413","2","0","2","4000","2000","1955","1","B3","465000","2016-11-17","232.5","Queens","144-43 226TH STREET, Queens, 11413 - New York","7358","-73.752593","40.663063"
"4720","22102","4","ROSEDALE","02 TWO FAMILY DWELLINGS                    ","1","13509","21","NA","B2","143-53 229TH STREET"," ","11413","2","0","2","3000","1738","1997","1","B2","570000","2016-09-23","327.963176064442","Queens","143-53 229TH STREET, Queens, 11413 - New York","7359","-73.748758","40.664162"
"4721","22105","4","ROSEDALE","02 TWO FAMILY DWELLINGS                    ","1","13510","3","NA","B3","230-03 144TH AVENUE"," ","11413","2","0","2","3000","988","1950","1","B3","187000","2016-11-09","189.271255060729","Queens","230-03 144TH AVENUE, Queens, 11413 - New York","7360","-73.748338","40.663158"
"4722","22108","4","ROSEDALE","02 TWO FAMILY DWELLINGS                    ","1","13512","25","NA","B2","231-24 LANSING AVENUE"," ","11413","2","0","2","3000","2322","1996","1","B2","635000","2016-12-02","273.471145564169","Queens","231-24 LANSING AVENUE, Queens, 11413 - New York","7361","-73.745959","40.662878"
"4723","22109","4","ROSEDALE","02 TWO FAMILY DWELLINGS                    ","1","13538","169","NA","B3","146-15 232ND   STREET"," ","11413","2","0","2","4536","2679","1950","1","B3","425000","2016-10-27","158.641284061217","Queens","146-15 232ND   STREET, Queens, 11413 - New York","7362","-73.748388","40.6581509"
